related_studied_policy_area,Unknown,agriculture,biodiversity,climate_action,cohesion,culture,economy,education_and_youth,energy,equality,finance_and_capital_markets,food,health,home_affairs,innovation_and_research,jobs,justice,reforms,social_rights,transport
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture,0.05,0.41509433962264153,0.7142857142857143,0.13333333333333333,0.3888888888888889,0.38095238095238093,0.49295774647887325,0.75,0.4827586206896552,0.8181818181818182,0.21212121212121213,0.14285714285714285,0.5714285714285714,0.25,0.4583333333333333,0.3787878787878788,0.5294117647058824,0.43636363636363634,0.42105263157894735,0.25
biodiversity,0.3,0.21428571428571427,0.5,0.1590909090909091,0.00980392156862745,0.5,0.06896551724137931,-0.05555555555555555,0.12195121951219512,-0.12,0.75,0.3333333333333333,0.16666666666666666,0.8125,0.35294117647058826,0.24012158054711247,0.39285714285714285,0.13541666666666666,0.15,0.21428571428571427
climate_action,0.14285714285714285,-0.1781045751633987,0.75,0.058823529411764705,0.04716981132075472,-0.06060606060606061,0.08943089430894309,0.0,0.3684210526315789,-0.09375,-0.3103448275862069,-0.24271844660194175,0.03333333333333333,-0.14285714285714285,0.4117647058823529,0.16233766233766234,0.09090909090909091,0.0625,0.1388888888888889,0.12
cohesion,0.7272727272727273,0.45161290322580644,1.0,0.2,0.375,0.2,0.391304347826087,0.35714285714285715,1.0,0.8333333333333334,0.5,0.09090909090909091,0.0,0.6666666666666666,0.5555555555555556,0.6153846153846154,0.5714285714285714,0.38461538461538464,0.7142857142857143,1.0
culture,0.7777777777777778,0.18181818181818182,0.47058823529411764,0.5714285714285714,0.07142857142857142,0.5,1.0,0.6470588235294118,0.2,1.0,1.0,0.8,0.0,1.0,0.5,0.2857142857142857,0.6363636363636364,0.23076923076923078,0.0,0.5
economy,0.3013698630136986,0.33015873015873015,0.5882352941176471,0.2,0.21666666666666667,0.05333333333333334,0.4805194805194805,-0.16666666666666666,0.3333333333333333,0.0,0.5,0.28,0.325,0.19402985074626866,0.3103448275862069,0.4594594594594595,0.2564102564102564,0.297029702970297,0.4444444444444444,0.23809523809523808
education_and_youth,0.15,0.6666666666666666,0.4375,0.35714285714285715,-0.5,0.2727272727272727,1.0,0.375,-0.5714285714285714,0.3333333333333333,1.0,0.2,0.0,0.5,0.5454545454545454,0.0,0.1875,-0.4,0.3333333333333333,0.1111111111111111
energy,0.1896551724137931,0.16379310344827586,0.358974358974359,0.36904761904761907,0.16,0.125,0.19642857142857142,0.3559322033898305,0.1590909090909091,0.015384615384615385,0.5079365079365079,0.15481171548117154,-0.11904761904761904,-0.08108108108108109,0.15555555555555556,0.08450704225352113,0.22950819672131148,0.15807560137457044,0.5230769230769231,0.058823529411764705
equality,0.14285714285714285,0.4666666666666667,0.75,0.6,0.2857142857142857,0.07142857142857142,0.4,-0.05,0.5,0.7,0.0,0.5,-1.0,-0.1111111111111111,0.2857142857142857,0.35714285714285715,0.125,0.6666666666666666,0.3333333333333333,0.3333333333333333
finance_and_capital_markets,0.2727272727272727,0.27710843373493976,-0.3333333333333333,0.0,-0.2727272727272727,0.2,0.15625,0.7777777777777778,0.2777777777777778,0.25,0.14285714285714285,0.23076923076923078,-0.05,0.08,0.5714285714285714,0.375,0.16666666666666666,0.034482758620689655,0.42857142857142855,-0.3333333333333333
food,0.5652173913043478,0.475,-0.25,0.25,0.13793103448275862,0.4,0.5,0.11428571428571428,1.0,0.5,-0.5,0.05555555555555555,0.6666666666666666,-0.4,0.25,0.5752212389380531,0.36363636363636365,0.058823529411764705,-0.0625,-0.06666666666666667
health,0.35789473684210527,0.203125,0.2023121387283237,0.2868462757527734,0.023474178403755867,0.1111111111111111,0.08064516129032258,0.2760416666666667,0.29411764705882354,0.17142857142857143,-0.029411764705882353,0.13333333333333333,0.14285714285714285,0.08064516129032258,0.2948717948717949,0.2261904761904762,0.17424242424242425,0.14084507042253522,0.13043478260869565,0.1
home_affairs,0.47619047619047616,0.37037037037037035,0.5,0.4,0.125,0.6,1.0,-0.125,0.25,0.16666666666666666,0.5,-0.42857142857142855,0.0,0.75,0.4,0.6666666666666666,-0.2,0.3333333333333333,-0.5,1.0
innovation_and_research,-0.1,0.46296296296296297,0.8333333333333334,0.4444444444444444,0.34782608695652173,0.75,0.04,0.375,0.8333333333333334,0.4,1.0,0.6111111111111112,1.0,0.38461538461538464,0.2857142857142857,-0.375,0.4,0.25925925925925924,0.16666666666666666,0.8
jobs,0.12903225806451613,0.2727272727272727,0.4,0.2222222222222222,0.5555555555555556,0.47368421052631576,0.4375,0.45161290322580644,0.0,0.375,0.875,0.42857142857142855,0.3,0.4666666666666667,0.391304347826087,0.75,0.5,0.16279069767441862,0.0,0.4
justice,0.5555555555555556,0.6666666666666666,-1.0,-0.2727272727272727,0.42857142857142855,0.8,1.0,0.5555555555555556,1.0,0.0,0.0,0.5,1.0,0.0,0.75,1.0,0.75,-1.0,1.0,0.0
reforms,0.6363636363636364,0.32653061224489793,0.16666666666666666,0.6363636363636364,0.42857142857142855,0.5384615384615384,0.5,0.5,0.4166666666666667,0.3,0.6,0.5,1.0,0.35714285714285715,0.47368421052631576,0.6,0.8571428571428571,0.5,0.0,1.0
social_rights,-0.014925373134328358,0.3448275862068966,0.3333333333333333,0.4153846153846154,0.32142857142857145,0.5333333333333333,0.5555555555555556,0.7083333333333334,0.058823529411764705,0.5882352941176471,0.8,0.17647058823529413,-0.2,0.25,0.4827586206896552,0.4864864864864865,0.5833333333333334,0.25,-1.0,0.8333333333333334
transport,0.375,0.19801980198019803,0.6666666666666666,0.3157894736842105,0.031578947368421054,0.5454545454545454,0.029850746268656716,0.3333333333333333,0.36,0.48,0.0,0.1188118811881188,-0.17391304347826086,0.05555555555555555,0.18181818181818182,0.16,0.23809523809523808,0.04411764705882353,0.05263157894736842,0.17391304347826086
