country,iso3c,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Afghanistan,AFG,2591.560444,2653.369752,2291.800534,2311.197576,2486.769353,2667.018578,2572.686354,2897.513126,2768.741931,2775.307821,2337.067789,2454.616803,2591.247865,2972.934175,3312.80816,3965.618156,3647.275367,3645.577533,3431.059496,3422.340597
Albania,ALB,3966.31902,4216.334868,5018.73888,4696.720727,3939.414594,3972.88414,4171.489161,4622.332175,5162.2787,5705.672742,3998.779972,5403.113787,5405.519776,5629.53401,5820.451192,5925.171415,6015.277131,5599.665448,5566.264087,6728.089663
Algeria,DZA,15508.92,18507.3545,26708.54999,36005.68385,33391.33107,35792.66164,42106.6532,46410.11328,64045.29679,50856.68801,66518.00957,53388.06084,48448.7213,57720.34064,72440.64936,72704.5204,72467.80155,74243.93991,78004.73465,73039.42778
Andorra,AND,776.4345761,687.225597,687.3640633,736.2189111,608.0674946,591.6752041,606.7845888,579.9531398,669.1263651,631.3979905,587.4366271,567.2556812,580.1353894,585.8810692,593.7136757,627.8040021,645.6609859,669.075115,687.0792801,714.0339619
Angola,AGO,3956.770452,4042.646071,4183.248972,4281.709176,4277.147542,3884.473613,4111.336513,3673.206093,3898.538765,3852.694364,3708.638822,4172.252834,4661.02962,5038.836657,5240.083831,5192.814413,5196.520288,5097.690081,5285.386027,5183.692594
Antigua,ATG,300.0781685,301.5116358,360.4788449,398.8665426,419.1678732,560.1079412,380.1424262,450.6587804,567.4633754,479.0553294,385.6976551,383.7888253,507.7186747,384.126688,495.7897708,631.6257586,650.4032038,688.9348689,699.9649708,750.9643299
Argentina,ARG,74846.50708,73559.00108,73247.51921,73171.30588,72979.12263,72449.51584,74367.55363,74748.12387,75395.58032,79966.17371,79971.72741,77537.74838,92477.80473,99737.58791,104090.848,101965.3485,107350.944,113229.6386,114753.2763,106263.8974
Armenia,ARM,10034.27437,10403.11319,10223.5446,9974.019371,9930.30481,10130.84003,10610.59571,10786.31217,11537.27485,11670.49811,11998.71815,12433.79235,12926.8384,13487.79076,14395.52142,15630.42861,15871.16876,17560.028,18820.63079,19628.4636
Aruba,ABW,2397.7994,2067.718257,2001.329142,2195.821323,1922.498131,1488.455427,2822.087007,1645.380367,1527.974932,1539.169687,1529.15577,1455.842782,1613.223284,1071.437135,1999.327235,2311.744846,639.8184642,905.4310306,1116.405848,1238.639146
Australia,AUS,316470.8288,250769.5375,238740.5293,246324.4829,245956.0384,240583.6833,253878.5354,258237.9548,114604.6102,210082.8697,233734.4255,255742.9563,248108.4371,239403.1145,253185.9201,245897.6595,242955.4715,263402.5546,277108.4821,300055.0344
Austria,AUT,57224.15257,59072.3377,64804.58207,71784.10079,66718.92258,64036.68877,69287.54328,70028.64776,71733.95347,76678.45793,71143.26826,68391.07473,64688.06234,64447.55635,66035.81837,67614.9401,71641.83348,77506.80013,76198.7862,78454.39424
Azerbaijan,AZE,32576.95849,34696.55544,36570.07814,37486.54622,40328.67993,42251.39826,43649.62322,44940.78193,47770.32042,47334.99168,47811.94641,48728.10783,49852.27851,50620.61281,51042.97574,53074.1493,52923.56935,54941.57458,57417.46281,57999.39716
Bahamas,BHS,3142.894348,6702.541166,6407.081027,7489.425077,6872.59342,7619.411935,6124.488697,8794.960264,6292.524746,6429.151363,7138.748248,3222.362398,2925.40883,2873.317734,2844.876034,2723.867019,2724.679384,2971.860475,3223.736323,3854.537114
Bahrain,BHR,3182.75656,3522.524692,4342.134394,6177.707279,6460.53955,6817.282509,8466.761118,9597.185746,10276.98184,10717.28739,11179.22525,11968.635,12866.0386,11495.53168,12514.4036,13016.57312,13025.38905,13180.8319,13383.55561,12776.5436
Bangladesh,BGD,6780.090386,6511.654594,6529.442899,7672.319603,8223.613251,8402.290323,9796.008122,10529.1945,11633.66806,12416.21036,13354.96803,14636.21279,15024.06503,14951.33237,15706.86685,16053.35398,16183.88934,16426.91851,17487.49635,17998.01096
Barbados,BRB,868.6780959,831.1324461,869.8611714,930.6127939,1000.376863,1085.217199,1152.001274,1251.188763,1509.148849,1635.239357,1773.031453,1812.696703,1792.003176,1806.976804,1804.001224,1762.554889,1792.834361,1801.513022,1821.655162,1907.358915
Belarus,BLR,228.5888389,187.0486795,173.047582,153.3301198,125.8608396,121.4174799,118.4011567,108.3993029,129.4245305,105.0787014,94.20414044,95.51828226,102.6367946,107.6523322,108.9825696,115.3502344,111.374488,109.5947935,109.4821893,111.6150631
Belgium,BEL,181633.8161,172095.3585,179538.8482,181076.5973,156681.1327,142218.2541,141917.127,137370.811,143495.2272,142253.1124,130265.4805,114469.0205,103005.2722,92661.4833,94329.88065,95227.60373,99332.32414,102739.5159,101017.1682,104168.9522
Belize,BLZ,324.7217885,310.9863175,324.5710137,349.8748737,330.6228153,331.4434763,322.5994842,336.3173964,364.4998821,351.8259946,357.0054663,364.0647776,470.7282618,501.5027537,508.253178,508.3440681,542.3087813,563.0802312,582.9485368,616.277565
Benin,BEN,787.7937404,787.3350648,828.568115,853.8632298,865.0822579,842.7409088,896.0233176,831.5255512,901.1528164,913.1193937,911.2031889,996.8139498,1114.270015,1149.855474,1204.369182,1206.165482,1203.679833,1197.719578,1229.382577,1164.722064
Bermuda,BMU,550.5781493,448.2866716,429.5104967,418.8073037,410.0688191,440.3684138,524.4088939,532.5250146,678.8924692,693.9888043,766.4361714,809.7533959,895.3837169,955.9816403,1071.27428,1120.507753,1090.652162,1186.169378,1302.420575,1319.244684
Bhutan,BTN,182.9792786,172.7370684,170.618219,187.2129049,199.240447,197.8270864,219.389675,235.6250529,249.4437452,259.3188952,266.126234,301.2855781,319.1073344,332.0395746,339.7534331,346.3486174,355.2680834,359.0256779,368.9519263,359.4293292
Bolivia,BOL,3772.497625,3371.386085,3318.494584,3207.468382,3172.887285,3185.282782,3174.900063,3185.67181,3198.613694,3163.66599,3134.155738,3189.315674,4632.137448,5076.018291,5375.481253,5622.342694,5724.668065,5834.654192,5951.628319,5935.810298
Bosnia and Herzegovina,BIH,17920.32732,18626.89904,17480.80459,18208.59393,18725.59705,19085.39408,19178.71417,18180.19479,19372.86848,20347.99324,19399.64816,22026.27797,19872.95795,21724.46502,23236.19072,23801.88747,24506.95428,24296.685,25029.98399,25247.31717
Botswana,BWA,995.4455206,906.7650654,805.4356861,842.1138187,882.5897716,972.2508387,1397.89052,1643.197758,1948.848514,2181.076319,2298.498762,2533.040115,2709.71185,2820.894333,2959.387341,3068.429506,3143.666888,3498.080452,3686.915111,4532.864555
Brazil,BRA,152396.8616,140666.7807,139580.2417,140259.0624,137112.0847,135466.707,134931.4711,135117.893,137109.9749,136126.3065,133318.4336,132473.9478,181577.0425,190385.4322,197911.764,210412.4689,223866.0801,225774.1149,226557.6809,234176.8807
British Virgin Islands,VGB,436.4439435,338.1944753,293.0155007,265.5939356,221.6680801,213.211624,208.6031526,215.3701563,280.8347898,241.3541722,229.7486008,254.2919435,293.0442146,336.4210661,377.3731855,370.6404917,353.3235414,367.7945015,385.9139167,410.9214726
Brunei,BRN,4978.670965,4571.04338,5796.224847,6026.948093,5095.29854,4483.282239,3668.866637,3570.484814,4580.906642,3452.40241,3440.554436,1515.491056,1961.094207,2114.934093,1774.214879,2263.669149,2196.922924,2509.98252,3613.080024,3883.199261
Bulgaria,BGR,75077.94249,77334.47816,78453.2405,79499.73888,80872.86711,81488.99451,82382.68493,84598.81225,90610.52965,84973.35724,90322.42658,93756.77596,100621.8753,99230.98605,94988.26606,95727.04424,95494.8942,92461.47597,83672.79224,78418.5218
Burkina Faso,BFA,718.7251817,641.1028882,644.436681,649.3670938,656.2897562,688.8088702,732.7286616,793.4223844,1032.891529,1173.984839,1258.238919,1329.217888,1375.405299,1277.510261,1166.236702,1256.115367,1248.400631,1369.034067,1446.950879,1613.895892
Burundi,BDI,428.5517425,417.4533545,417.7291818,424.2565513,427.505219,409.1633196,444.1881896,409.9551284,450.680807,471.5750949,467.7493728,527.2447494,595.5394493,640.67838,669.3911632,657.8807805,640.9187801,621.9266478,589.2499296,573.7373091
Cambodia,KHM,781.3383648,729.6116496,721.9852854,813.5200821,900.050761,911.0179234,1027.47014,1105.035018,1158.382904,1203.974572,1235.247304,1390.433836,1421.989215,1449.435638,1473.570407,1485.71258,1475.960092,1474.848405,1497.188359,1520.319178
Cameroon,CMR,2364.522264,2479.846423,2662.128801,2838.49524,2931.254231,2910.628285,3186.371478,3078.475742,3424.822903,3476.324682,3872.913113,4510.612902,4983.893071,6321.703544,6395.654695,6259.268638,5837.9331,5512.298341,4744.533158,6305.323381
Canada,CAN,448651.0616,460437.1381,485631.3253,482738.7854,480573.8342,487457.5298,487085.9329,479658.3181,477274.7824,477591.5597,459506.1723,453690.9182,431862.4123,433629.6066,430578.9338,433684.6378,419258.6874,439722.5235,469411.1824,486302.6537
Cape Verde,CPV,487.9045054,401.1344655,385.5143938,354.7115893,290.6860804,294.5128293,282.7549749,261.847818,416.0595883,394.5250854,285.818728,224.6758212,253.8559759,266.9056964,311.2700261,335.4009134,336.8746972,360.6709956,361.4209332,374.4749351
Cayman Islands,CYM,248.7990288,209.3567427,204.7672719,189.0694767,167.1429403,180.4787593,203.2817179,207.7229482,265.6487316,239.9198434,239.0971483,273.0533967,379.8854607,548.3555995,604.801473,459.9358911,340.1529194,354.2016564,376.1321075,408.5341068
Central African Republic,CAF,505.6787842,468.3628191,466.3977497,457.8119566,432.0196541,410.0832626,452.6039072,405.113307,456.8366723,427.4610068,408.1993508,466.0483057,516.8013815,552.6368529,584.0207829,576.7134635,576.002494,606.6153171,622.7364643,613.160704
Chad,TCD,694.3466497,606.6078765,550.7897453,530.8392902,458.6396757,473.7269674,473.2869458,449.3621352,515.7193963,457.9058703,433.0756985,444.7581576,460.3560981,485.0327034,548.1505923,489.5714691,510.0839625,542.7258978,423.5612075,466.0284365
Chile,CHL,26967.54186,27023.49423,26995.25716,27613.58951,24119.79891,17666.87974,19266.68758,21588.85838,22598.7637,25077.38159,27414.7315,29248.23512,25886.8358,24601.19421,26184.98596,24832.42425,25423.85247,26348.74217,27975.52813,31220.92067
China,CHN,1605297.402,1701582.543,1755345.914,1828893.427,1798503.141,1942675.967,2011781.811,2105505.442,2153314.542,2035120.269,1859212.378,1708910.339,1691853.221,1720197.223,1814157.924,1907939.849,1952252.766,1979123.753,2098746.287,2140080.995
Colombia,COL,32420.12351,29947.72241,29475.37747,29144.98834,29126.42416,28785.02703,29049.89256,29280.84629,29905.80612,30311.49188,30679.56845,31072.07773,42015.60636,45104.80648,46974.11917,48395.45436,48979.39796,49879.53919,50452.59763,50672.63505
Congo,COG,676.1596118,764.7113733,867.167755,1003.138115,1062.582831,1031.222301,1134.554022,998.1155805,1070.822859,1096.339752,1070.60389,1236.324182,1392.802545,1470.514342,1530.205806,1483.717622,1474.096247,1486.848653,1555.036518,1499.417593
Costa Rica,CRI,3481.070011,3205.226208,3163.437057,3150.857559,3056.875093,3046.49524,3083.674731,3201.305255,3320.412341,3322.96924,3268.308624,2815.122017,3697.374242,4152.529554,4374.17556,4648.707705,4812.287647,4944.545581,4874.12972,4984.817934
Croatia,HRV,15561.64995,15366.22115,14578.96102,17944.44412,17008.53106,17073.60275,17355.16174,16953.82773,19404.0963,21087.37237,20128.3151,19292.63951,19144.93141,20093.91287,21193.61799,21893.30736,23508.49743,24251.29209,25587.80879,24526.55885
Cuba,CUB,24675.18072,23694.92267,24097.39413,25117.07506,25953.14279,28194.02234,29138.72829,30607.2785,32574.40157,34051.98115,33731.99563,34324.94795,40837.91992,41481.37488,44603.67817,45516.95618,46127.63904,46518.35675,47144.01242,46128.37506
Cyprus,CYP,2710.875858,2764.870456,3221.269701,3263.588971,2609.625245,2631.361227,3097.785468,3278.182717,3580.444182,3759.19647,3990.571806,3749.555807,3900.350253,3984.881307,4251.755614,4346.80508,4911.307145,5739.211756,6104.587072,6689.396745
Czech Republic,CZE,196086.4587,203165.5858,204298.1661,209381.4823,199550.1167,207477.3075,214756.2946,220766.2173,223596.0386,218437.7878,220703.4334,220241.5505,217250.3512,219300.9866,226192.7802,222804.7186,222705.5372,222408.1086,216268.1068,205092.6863
Cote dIvoire,CIV,5710.416778,5829.932905,5945.117738,5992.460232,5877.315211,5662.948248,6088.936554,5569.97896,5987.621959,6055.885663,5898.272886,6272.153735,6711.495689,6911.969993,6985.560505,6858.293343,6894.50167,7066.101009,7374.067831,7134.106205
North Korea,PRK,129241.8216,167601.6433,141167.9603,89114.67297,152105.9523,160389.2902,160216.4994,163474.5586,153904.4222,153939.3016,155187.9458,154639.9709,160806.9222,171785.0604,183344.5682,195173.9105,211440.6265,231946.6372,257013.2846,273096.5839
DR Congo,COD,3991.847279,4093.942373,4199.6091,4307.352906,4388.688897,4127.696082,4520.770584,4089.128675,4287.989778,4301.036308,4082.333357,4698.383586,5063.242823,5484.160932,5431.438911,5335.229338,5322.245098,5424.930533,5608.761207,5670.131718
Denmark,DNK,62676.24787,59118.96317,62705.52784,65404.39881,62016.17946,62098.67549,68292.09252,69544.00959,71076.55405,73769.77833,67927.99944,58927.01493,59870.13943,56805.24318,57722.80862,65633.70938,67985.53299,67853.63637,64312.00039,59045.81966
Djibouti,DJI,551.3243258,481.6701329,488.2334969,451.2895455,418.4770591,426.1970408,448.4213098,428.9578512,556.0833214,621.3040617,589.2035413,562.2591836,677.5683931,693.6619182,709.2913724,764.554694,736.0202022,729.3982572,691.4128372,686.9796621
Dominican Republic,DOM,6676.45965,6294.395584,6565.046652,6939.483551,7239.515267,7221.457425,7379.733915,7294.271728,7378.520356,7900.231098,8076.054518,7708.600189,9459.446869,10285.09563,11123.71584,10076.40706,10513.27516,10701.21664,10043.76354,10812.24199
Ecuador,ECU,9042.577424,8139.901257,8204.077768,8237.321393,8336.074404,8682.380629,8868.114273,8771.575164,9433.526835,9570.038998,9815.876615,10682.64507,14500.51802,15237.6473,16122.05415,16617.91853,15937.5602,15985.23924,16055.52302,16546.83382
Egypt,EGY,27638.14744,29067.56365,32186.33023,29211.0454,34202.56107,42767.12314,49475.06001,53104.36533,58481.33347,59731.60051,70361.89034,76511.62954,84472.49698,88672.71651,102175.2639,104488.31,111950.043,113877.8294,126374.2827,97036.40028
El Salvador,SLV,2232.550009,2076.165828,2065.911361,2062.663017,1957.910049,1958.537993,1976.366443,1943.053609,2019.545984,1900.727595,1801.927226,1829.343821,2434.242929,2679.119111,2768.989231,3055.45603,3253.087394,3523.615033,3594.190716,3772.933067
Eritrea,ERI,1047.823935,951.4013322,896.15135,864.0116203,816.9761366,761.3752668,797.9563894,727.4489945,811.797073,770.0193028,731.7659604,819.0288656,839.4181285,890.2105696,917.1880392,908.1570943,932.5576115,931.9933849,960.3930457,943.6459523
Estonia,EST,30980.47385,35338.88531,34256.5058,33594.11499,34882.34761,35764.64551,35745.27573,35347.29576,35966.63975,33357.38026,34282.8172,32846.93116,33705.84738,34217.63054,34556.21917,38246.82486,38733.24052,38836.22288,39371.14458,38470.05918
Ethiopia,ETH,2245.882464,2292.246277,2298.466708,2442.72414,2431.48334,2220.950551,2449.834105,2170.604103,2331.136566,2398.351171,2313.734478,2669.375393,2886.933716,3146.058756,3299.120981,3183.525858,3169.509282,3221.559585,3395.480408,3327.13847
Fiji,FJI,1072.631632,1005.469801,1052.168722,1105.509574,1102.698402,1045.111668,1013.620303,1250.384437,1455.755816,1569.069885,1628.67074,1931.030667,1581.618194,1419.282416,1317.805683,1332.367436,1315.889347,1162.674044,1156.011075,1227.806693
Finland,FIN,51240.11117,50922.92538,55146.38926,61600.65177,59216.22972,59110.18795,62815.58613,59648.46705,59522.48395,63323.89982,67925.09817,60725.84285,54819.43665,52433.40809,52692.63348,60079.09809,64470.08656,70693.67384,69456.1112,70807.83042
France,FRA,451905.4732,475707.0418,507885.15,568941.7491,545974.423,501071.6194,559868.3674,533822.8483,561562.2203,596449.5507,588470.989,525789.4064,504149.764,478844.2016,461499.467,470543.157,482467.2165,497952.7665,491759.2786,507193.8005
French Polynesia,PYF,537.6552179,435.4524437,417.343511,418.2651648,424.9303011,417.5125935,459.2887071,485.8211385,633.3589303,638.2887899,661.4070529,656.5055237,630.9388608,649.6095546,678.3879752,690.1478391,755.9127258,787.0279497,716.5850239,716.4573882
Gabon,GAB,3089.4433,3330.377485,3341.753415,4146.229324,4245.898308,4106.672782,4447.852169,4347.2336,4771.857396,4513.36216,4374.2647,4722.148828,4981.215602,4954.284152,5261.868385,5262.247716,4984.706143,4639.284129,4881.138917,5116.293222
Gambia,GMB,505.0954619,421.7602459,418.4013624,412.4019658,401.6313772,436.6871821,469.0735368,471.0019773,623.3784981,684.0548098,675.9678271,604.1198731,589.435561,573.2790609,561.6620792,663.5623231,522.7126294,527.9970143,568.3328747,552.2100316
Georgia,GEO,24867.40281,24741.39834,24978.76628,24751.32091,24713.39628,25657.68793,26267.49231,26465.99711,27664.93621,28278.58136,28627.5471,29394.89876,30096.93044,30869.65994,32459.45683,34741.86201,35021.35676,38368.64909,40677.52534,46308.12477
Germany,DEU,951428.2873,965881.4176,976769.0532,1035418.883,1023319.717,981716.3204,1054157.711,1033477.64,1090823.565,1151124.112,1117658.306,1030069.151,990913.1845,981595.1827,993167.1621,999769.252,1035085.333,1058701.849,1051058.777,1040876.039
Ghana,GHA,3049.771267,3086.12157,3153.84367,3243.309467,3407.474205,3173.668897,3465.064934,3228.278675,3387.734168,3377.019416,3314.358048,3784.885344,3997.71972,4268.559797,4237.296882,4126.201992,4000.826738,3903.976046,4035.404316,3935.631383
Greece,GRC,31959.02864,35563.5136,40177.09992,49735.90307,51796.21714,55097.7944,61297.48012,67325.35266,71442.80656,78530.70215,78586.60412,75264.15431,77076.43825,77350.98202,77854.9166,81213.43912,79493.66802,85151.6199,91368.9514,100710.1944
Greenland,GRL,580.1979497,466.6990104,417.2446734,339.7415407,279.8978009,293.8074377,328.7333064,352.7964517,462.4662421,500.7343549,507.752058,455.5078255,315.9298386,686.460881,914.9551146,749.0066645,496.1548635,795.9500782,679.965876,-78.96077496
Guatemala,GTM,4113.587706,3754.310268,3711.38612,3724.145424,3663.56845,3691.565135,3746.499206,3824.633996,3923.058731,3970.219468,3939.377888,3921.763195,5113.04014,5383.781031,5685.373318,5995.735478,5955.775791,6055.193642,6099.26102,6114.099248
Guinea,GIN,1194.991344,1214.81943,1241.431126,1267.895835,1303.380326,1229.457023,1356.42432,1233.881193,1304.224781,1321.497574,1278.785753,1456.307213,1598.602658,1707.922825,1802.745232,1714.094008,1578.595008,1573.635946,1662.290543,1601.997088
Guyana,GUY,8591.819223,8206.531707,9356.436625,13069.54987,16356.21794,17984.42529,19752.61892,16821.58243,15636.66589,16432.8757,18582.79929,17587.93419,16169.23181,16127.12664,16462.82761,16976.36142,16790.37366,18345.86576,18143.2725,19632.1575
Haiti,HTI,947.2708799,858.2209913,833.4449949,827.4209736,821.0139749,829.6923312,898.6419039,915.4131658,953.9260924,959.3148793,1018.618572,1045.94488,1313.088405,1422.468775,1507.196879,1577.694417,1554.218706,1541.042195,1460.002772,1426.506173
Honduras,HND,2640.375943,2383.082427,2345.180478,2298.088178,2249.082901,2245.660339,2261.866999,2302.225426,2324.14114,2312.564177,2339.979644,2323.517802,3172.098874,3454.456612,3640.65636,3805.476397,3894.536847,3991.101034,4037.417932,4093.837184
Hong Kong,HKG,46248.03403,43508.63929,39770.7258,34082.36765,27384.85729,24559.14141,35740.31367,30906.70335,34634.12671,31897.83348,34129.38948,37095.86011,40030.90545,43060.10471,49318.22105,55269.89237,63652.65582,78690.04322,90335.67976,99080.4348
Hungary,HUN,78652.65101,77565.7511,77303.69774,81755.33341,80436.08971,82741.05563,86910.69427,87979.0812,92068.91015,85279.49425,83712.52291,83198.84686,83000.63053,82547.78482,81569.33623,77689.62077,78624.55452,76426.69642,70823.88514,67580.56557
Iceland,ISL,2850.909918,2768.79553,2787.042414,3019.395429,2993.719,2700.091442,2784.180332,3046.951311,3161.04688,3238.488731,3151.829026,3101.348057,2764.686494,2468.232146,2760.587696,2744.432437,2870.150361,3221.106008,3161.934732,3101.829221
India,IND,280605.4184,281840.6532,288483.4086,308895.6714,323406.4,334989.3644,361117.748,384500.3679,398044.6488,413877.0149,428058.1474,472037.3331,483224.5112,503527.2846,512800.6952,540911.1728,551599.9027,565907.8849,596667.5157,622386.3379
Indonesia,IDN,81404.83558,81106.26488,82873.10788,94879.1053,101993.0358,105076.1382,122165.9775,135285.1185,146181.2679,144899.5819,149542.9516,167805.4383,174278.3702,174296.1571,177265.7496,181688.6539,180114.0337,175354.6808,180303.8532,181216.8454
Iran,IRN,64137.22754,76043.51546,86612.61414,116871.8364,148113.5274,157663.2499,188135.3437,197018.218,190451.9608,185031.4117,161038.7735,145749.0738,173245.469,204835.1437,181529.72,159105.3987,145218.6882,154894.3804,173490.6574,193073.0443
Iraq,IRQ,24643.58907,29006.03735,29558.87624,30381.04086,30261.63729,32567.9481,46717.86741,42246.50491,41237.86218,50742.92478,44101.08932,33441.52933,33054.55178,41130.86976,42683.69793,47941.85332,53535.10835,57421.22624,72369.80472,76920.54136
Ireland,IRL,19744.19431,23111.5397,22611.77353,22448.3437,21013.12822,19795.04892,19705.84243,21221.03305,22867.20187,27204.50952,25594.83458,24544.92708,23792.26997,22953.57195,22384.60747,23618.43337,26471.19133,27580.00501,27462.87761,28473.99443
Israel,ISR,15123.32564,14392.74182,15385.6397,18327.61008,19038.83878,19438.71542,19849.77839,20377.43537,22666.52001,23861.49578,24028.50847,24608.43536,26802.04533,27368.56058,26982.92727,27796.85115,30122.17319,33402.98246,36400.01914,38253.38719
Italy,ITA,336284.9713,348739.0193,375526.2043,420299.2498,432673.0018,400328.8538,420123.3082,405867.4273,421366.8428,445170.2811,463580.2003,436188.9796,424907.5727,417736.7819,427687.4631,426119.6303,434803.7511,469203.8182,476280.5161,497269.9627
Jamaica,JAM,5765.244241,6132.77802,6611.557931,8139.100103,7799.224913,8356.816429,7683.112072,7731.084951,8773.633093,8243.409876,8193.865699,7758.499396,7395.598102,7748.495543,6383.979303,6356.30256,5959.860346,6757.46715,6554.371581,8269.151155
Japan,JPN,640937.7003,667289.5107,751001.7165,848346.519,879289.2977,841308.2139,894935.0014,957625.5047,1036913.342,1093009.249,1096014.677,1076498.003,1015019.228,988178.6426,1038026.685,1027933.482,1071133.04,1126393.75,1266891.11,1317477.799
Jordan,JOR,1965.126742,1984.464084,2287.115887,2715.908607,3136.00773,3836.095827,5038.569225,5779.027753,7032.278152,8106.619914,9317.549237,11339.11948,11548.94578,11473.16664,12015.06991,12474.8675,12571.48492,12924.16685,12208.13813,11163.30578
Kazakhstan,KAZ,209882.8394,213781.8877,220409.5248,222646.219,229001.6767,233243.1784,240534.1777,246119.2622,252721.4512,254677.5841,262966.2018,251175.4736,251497.7187,252427.1906,256629.0928,280377.3611,286787.0187,298277.6465,306287.1038,307110.6409
Kenya,KEN,4771.200315,5050.899138,5261.108531,5655.308266,6444.902412,6216.392485,6379.008423,6556.989544,7557.498025,7418.536518,8255.114577,8240.07721,7246.050681,7112.447742,7410.130518,7024.136435,7229.193874,7768.405525,7690.297056,7735.37879
Kuwait,KWT,17830.51942,20171.62486,21308.09421,20009.32347,18625.49502,19507.11488,23972.08408,25923.64909,28974.46763,27466.5685,35026.21177,35867.38065,35638.62997,34090.73641,39030.98255,39476.1156,41039.96642,36088.5788,36738.34313,40060.69374
Kyrgyzstan,KGZ,14252.0775,14188.44189,14438.83484,16702.83259,14648.73682,15101.69263,15454.34456,15615.35645,16131.16853,15859.13577,15989.3953,15713.26127,16277.38857,16683.83617,16966.52669,18374.4214,18744.61031,19677.96048,20907.17429,20136.72601
Laos,LAO,210.8529224,205.9326289,211.668171,245.1711928,263.5326815,275.5348792,311.7266781,339.4620501,365.2008898,379.7764143,411.2157112,455.9553193,469.718295,480.9547561,506.3483353,520.8388466,513.5465246,498.037333,482.5461628,499.6579125
Latvia,LVA,16368.34285,15955.63566,16370.63617,16273.43736,16508.02978,16971.67234,17466.28352,17868.53045,18762.70819,18633.65332,18938.15514,19378.37493,19927.20607,20517.13064,21052.3394,22480.34388,22666.83309,23947.73447,25121.59022,26181.11143
