Population_File_Countries,Emissions_File_Countries,Consumption_File_Countries
Afghanistan,Afghanistan,Afghanistan
Albania,Albania,Albania
Algeria,Algeria,Algeria
American Samoa,Angola,Andorra
Andorra,Anguilla,Angola
Angola,Antigua and Barbuda,Antigua
Anguilla,Argentina,Argentina
Antigua and Barbuda,Armenia,Armenia
Argentina,Aruba,Aruba
Armenia,Australia,Australia
Aruba,Austria,Austria
Australia,Azerbaijan,Azerbaijan
Austria,Bahamas,Bahamas
Azerbaijan,Bahrain,Bahrain
Bahamas,Bangladesh,Bangladesh
Bahrain,Barbados,Barbados
Bangladesh,Belarus,Belarus
Barbados,Belgium,Belgium
Belarus,Belize,Belize
Belgium,Benin,Benin
Belize,Bermuda,Bermuda
Benin,Bhutan,Bhutan
Bermuda,Bolivia,Bolivia
Bhutan,Bosnia and Herzegovina,Bosnia and Herzegovina
Bolivia (Plurinational State of),Botswana,Botswana
"Bonaire, Sint Eustatius and Saba",Brazil,Brazil
Bosnia and Herzegovina,British Virgin Islands,British Virgin Islands
Botswana,Brunei,Brunei
Brazil,Bulgaria,Bulgaria
British Virgin Islands,Burkina Faso,Burkina Faso
Brunei Darussalam,Burundi,Burundi
Bulgaria,Cabo Verde,Cambodia
Burkina Faso,Cambodia,Cameroon
Burundi,Cameroon,Canada
Cabo Verde,Canada,Cape Verde
Cambodia,Cayman Islands,Cayman Islands
Cameroon,Central African Republic,Central African Republic
Canada,Chad,Chad
Cayman Islands,Chile,Chile
Central African Republic,China,China
Chad,Colombia,Colombia
Chile,Comoros,Congo
China,Congo,Costa Rica
"China, Hong Kong SAR",Cook Islands,Cote dIvoire
"China, Macao SAR",Costa Rica,Croatia
"China, Taiwan Province of China",Croatia,Cuba
Colombia,Cuba,Cyprus
Comoros,Curaçao,Czech Republic
Congo,Cyprus,DR Congo
Cook Islands,Czechia,Denmark
Costa Rica,Côte dIvoire,Djibouti
Croatia,Democratic Republic of the Congo,Dominican Republic
Cuba,Denmark,Ecuador
Curaçao,Djibouti,Egypt
Cyprus,Dominica,El Salvador
Czechia,Dominican Republic,Eritrea
Côte d'Ivoire,EU27,Estonia
Dem. People's Republic of Korea,Ecuador,Ethiopia
Democratic Republic of the Congo,Egypt,Fiji
Denmark,El Salvador,Finland
Djibouti,Equatorial Guinea,Former USSR
Dominica,Eritrea,France
Dominican Republic,Estonia,French Polynesia
Ecuador,Eswatini,Gabon
Egypt,Ethiopia,Gambia
El Salvador,Falkland Islands,Gaza Strip
Equatorial Guinea,Faroes,Georgia
Eritrea,Fiji,Germany
Estonia,Finland,Ghana
Eswatini,France and Monaco,Greece
Ethiopia,French Guiana,Greenland
Falkland Islands (Malvinas),French Polynesia,Guatemala
Faroe Islands,GLOBAL TOTAL,Guinea
Fiji,Gabon,Guyana
Finland,Georgia,Haiti
France,Germany,Honduras
French Guiana,Ghana,Hong Kong
French Polynesia,Gibraltar,Hungary
Gabon,Greece,Iceland
Gambia,Greenland,India
Georgia,Grenada,Indonesia
Germany,Guadeloupe,Iran
Ghana,Guatemala,Iraq
Gibraltar,Guinea,Ireland
Greece,Guinea-Bissau,Israel
Greenland,Guyana,Italy
Grenada,Haiti,Jamaica
Guadeloupe,Honduras,Japan
Guam,Hong Kong,Jordan
Guatemala,Hungary,Kazakhstan
Guernsey,Iceland,Kenya
Guinea,India,Kuwait
Guinea-Bissau,Indonesia,Kyrgyzstan
Guyana,International Aviation,Laos
Haiti,International Shipping,Latvia
Holy See,Iran,Lebanon
Honduras,Iraq,Lesotho
Hungary,Ireland,Liberia
Iceland,"Israel and Palestine, State of",Libya
India,"Italy, San Marino and the Holy See",Liechtenstein
Indonesia,Jamaica,Lithuania
Iran (Islamic Republic of),Japan,Luxembourg
Iraq,Jordan,Macao SAR
Ireland,Kazakhstan,Madagascar
Isle of Man,Kenya,Malawi
Israel,Kiribati,Malaysia
Italy,Kuwait,Maldives
Jamaica,Kyrgyzstan,Mali
Japan,Laos,Malta
Jersey,Latvia,Mauritania
Jordan,Lebanon,Mauritius
Kazakhstan,Lesotho,Mexico
Kenya,Liberia,Moldova
Kiribati,Libya,Monaco
Kosovo (under UNSC res. 1244),Lithuania,Mongolia
Kuwait,Luxembourg,Montenegro
Kyrgyzstan,Macao,Morocco
Lao People's Democratic Republic,Madagascar,Mozambique
Latvia,Malawi,Myanmar
Lebanon,Malaysia,Namibia
Lesotho,Maldives,Nepal
Liberia,Mali,Netherlands
Libya,Malta,Netherlands Antilles
Liechtenstein,Martinique,New Caledonia
Lithuania,Mauritania,New Zealand
Luxembourg,Mauritius,Nicaragua
Madagascar,Mexico,Niger
Malawi,Moldova,Nigeria
Malaysia,Mongolia,North Korea
Maldives,Morocco,Norway
Mali,Mozambique,Oman
Malta,Myanmar/Burma,Pakistan
Marshall Islands,Namibia,Panama
Martinique,Nepal,Papua New Guinea
Mauritania,Netherlands,Paraguay
Mauritius,New Caledonia,Peru
Mayotte,New Zealand,Philippines
Mexico,Nicaragua,Poland
Micronesia (Fed. States of),Niger,Portugal
Monaco,Nigeria,Qatar
Mongolia,North Korea,Rest of World
Montenegro,North Macedonia,Romania
Montserrat,Norway,Russia
Morocco,Oman,Rwanda
Mozambique,Pakistan,Samoa
Myanmar,Palau,San Marino
Namibia,Panama,Sao Tome and Principe
Nauru,Papua New Guinea,Saudi Arabia
Nepal,Paraguay,Senegal
Netherlands,Peru,Serbia
New Caledonia,Philippines,Seychelles
New Zealand,Poland,Sierra Leone
Nicaragua,Portugal,Singapore
Niger,Puerto Rico,Slovakia
Nigeria,Qatar,Slovenia
Niue,Romania,Somalia
North Macedonia,Russia,South Africa
Northern Mariana Islands,Rwanda,South Korea
Norway,Réunion,South Sudan
Oman,"Saint Helena, Ascension and Tristan da Cunha",Spain
Pakistan,Saint Kitts and Nevis,Sri Lanka
Palau,Saint Lucia,Sudan
Panama,Saint Pierre and Miquelon,Suriname
Papua New Guinea,Saint Vincent and the Grenadines,Swaziland
Paraguay,Samoa,Sweden
Peru,Saudi Arabia,Switzerland
Philippines,Senegal,Syria
Poland,Serbia and Montenegro,TFYR Macedonia
Portugal,Seychelles,Taiwan
Puerto Rico,Sierra Leone,Tajikistan
Qatar,Singapore,Tanzania
Republic of Korea,Slovakia,Thailand
Republic of Moldova,Slovenia,Togo
Romania,Solomon Islands,Trinidad and Tobago
Russian Federation,Somalia,Tunisia
Rwanda,South Africa,Turkey
Réunion,South Korea,Turkmenistan
Saint Barthélemy,Spain and Andorra,UAE
Saint Helena,Sri Lanka,UK
Saint Kitts and Nevis,Sudan and South Sudan,USA
Saint Lucia,Suriname,Uganda
Saint Martin (French part),Sweden,Ukraine
Saint Pierre and Miquelon,Switzerland and Liechtenstein,Uruguay
Saint Vincent and the Grenadines,Syria,Uzbekistan
Samoa,São Tomé and Príncipe,Vanuatu
San Marino,Taiwan,Venezuela
Sao Tome and Principe,Tajikistan,Viet Nam
Saudi Arabia,Tanzania,Yemen
Senegal,Thailand,Zambia
Serbia,The Gambia,Zimbabwe
Seychelles,Timor-Leste,
Sierra Leone,Togo,
Singapore,Tonga,
Sint Maarten (Dutch part),Trinidad and Tobago,
Slovakia,Tunisia,
Slovenia,Turkmenistan,
Solomon Islands,Turks and Caicos Islands,
Somalia,Türkiye,
South Africa,Uganda,
South Sudan,Ukraine,
Spain,United Arab Emirates,
Sri Lanka,United Kingdom,
State of Palestine,United States,
Sudan,Uruguay,
Suriname,Uzbekistan,
Sweden,Vanuatu,
Switzerland,Venezuela,
Syrian Arab Republic,Viet Nam,
Tajikistan,Western Sahara,
Thailand,Yemen,
Timor-Leste,Zambia,
Togo,Zimbabwe,
Tokelau,,
Tonga,,
Trinidad and Tobago,,
Tunisia,,
Turkmenistan,,
Turks and Caicos Islands,,
Tuvalu,,
Türkiye,,
Uganda,,
Ukraine,,
United Arab Emirates,,
United Kingdom,,
United Republic of Tanzania,,
United States Virgin Islands,,
United States of America,,
Uruguay,,
Uzbekistan,,
Vanuatu,,
Venezuela (Bolivarian Republic of),,
Viet Nam,,
Wallis and Futuna Islands,,
Western Sahara,,
Yemen,,
Zambia,,
Zimbabwe,,
