Model,Scenario,Region,Sector,Variable_clean,Unit,2015,2040,2050
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,"Canada, Australia, New Zealand",Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,77.5662,12.6127,0.0106
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,China,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,676.4475,155.15529999999998,24.0684
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,553.6432,156.6263,29.1033
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,India,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,194.9417,85.2457,18.4985
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,Japan,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,105.7944,16.1085,3.0656
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,Latin America and Caribbean,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,133.1766,53.92659999999999,42.0669
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,Middle East and Africa,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,204.5975,171.8004,43.3456
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,Non-EU Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,71.82039999999999,24.525399999999998,4.5895
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,Other Asia,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,199.1249,131.3777,49.472500000000004
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,Russia and Former Soviet Union,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,263.4895,106.2953,17.419900000000002
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,Sub-Saharan Africa,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,123.0697,82.6113,31.9075
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,United States,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,459.57489999999996,92.7294,17.6771
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,"Canada, Australia, New Zealand",Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,77.5662,4.5192,0.012499999999999999
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,China,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,676.4475,105.41290000000001,15.6788
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,553.6432,100.339,12.8705
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,India,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,194.9417,62.657399999999996,22.106600000000004
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,Japan,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,105.7944,11.536,1.1677
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,Latin America and Caribbean,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,133.1766,42.1694,23.827
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,Middle East and Africa,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,204.5975,172.8544,52.8591
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,Non-EU Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,71.82039999999999,18.5956,3.1931
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,Other Asia,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,199.1249,113.4282,40.1728
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,Russia and Former Soviet Union,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,263.4895,66.6616,6.6587
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,Sub-Saharan Africa,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,123.0697,59.558499999999995,27.949800000000003
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,United States,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,459.57489999999996,67.2625,1.8425
REMIND-MAgPIE 3.2-4.6,SDP_RC-1p5C-CCimp,"Canada, Australia, New Zealand",Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,77.5662,3.9317,0.0115
REMIND-MAgPIE 3.2-4.6,SDP_RC-1p5C-CCimp,China,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,676.4475,128.3354,30.448900000000002
REMIND-MAgPIE 3.2-4.6,SDP_RC-1p5C-CCimp,Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,553.6432,108.05590000000001,18.559499999999996
REMIND-MAgPIE 3.2-4.6,SDP_RC-1p5C-CCimp,India,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,194.9417,78.5146,36.1479
REMIND-MAgPIE 3.2-4.6,SDP_RC-1p5C-CCimp,Japan,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,105.7944,12.2672,0.9983
REMIND-MAgPIE 3.2-4.6,SDP_RC-1p5C-CCimp,Latin America and Caribbean,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,133.1766,49.620999999999995,15.273200000000001
REMIND-MAgPIE 3.2-4.6,SDP_RC-1p5C-CCimp,Middle East and Africa,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,204.5975,173.6327,45.7328
REMIND-MAgPIE 3.2-4.6,SDP_RC-1p5C-CCimp,Non-EU Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,71.82039999999999,20.0488,2.8128
REMIND-MAgPIE 3.2-4.6,SDP_RC-1p5C-CCimp,Other Asia,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,199.1249,122.2928,41.7095
REMIND-MAgPIE 3.2-4.6,SDP_RC-1p5C-CCimp,Russia and Former Soviet Union,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,263.4895,83.1459,13.4395
REMIND-MAgPIE 3.2-4.6,SDP_RC-1p5C-CCimp,Sub-Saharan Africa,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,123.0697,86.1198,53.5871
REMIND-MAgPIE 3.2-4.6,SDP_RC-1p5C-CCimp,United States,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,459.57489999999996,80.9554,9.615099999999998
REMIND-MAgPIE 3.2-4.6,SSP1-1p5C,"Canada, Australia, New Zealand",Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,77.5662,26.905099999999997,2.6555
REMIND-MAgPIE 3.2-4.6,SSP1-1p5C,China,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,676.4475,327.64820000000003,165.6073
REMIND-MAgPIE 3.2-4.6,SSP1-1p5C,Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,553.6432,206.3029,36.6411
REMIND-MAgPIE 3.2-4.6,SSP1-1p5C,India,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,194.9417,183.03239999999997,140.419
REMIND-MAgPIE 3.2-4.6,SSP1-1p5C,Japan,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,105.7944,41.5877,12.751199999999999
REMIND-MAgPIE 3.2-4.6,SSP1-1p5C,Latin America and Caribbean,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,133.1766,74.6669,36.3707
REMIND-MAgPIE 3.2-4.6,SSP1-1p5C,Middle East and Africa,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,204.5975,147.58520000000001,38.5405
REMIND-MAgPIE 3.2-4.6,SSP1-1p5C,Non-EU Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,71.82039999999999,30.7684,6.0871
REMIND-MAgPIE 3.2-4.6,SSP1-1p5C,Other Asia,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,199.1249,170.4452,105.1772
REMIND-MAgPIE 3.2-4.6,SSP1-1p5C,Russia and Former Soviet Union,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,263.4895,137.08749999999998,58.9778
REMIND-MAgPIE 3.2-4.6,SSP1-1p5C,Sub-Saharan Africa,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,123.0697,123.64789999999999,105.89320000000001
REMIND-MAgPIE 3.2-4.6,SSP1-1p5C,United States,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,459.57489999999996,130.51239999999999,22.4897
REMIND-MAgPIE 3.2-4.6,SSP1-NPi,"Canada, Australia, New Zealand",Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,77.5662,46.5869,29.4312
REMIND-MAgPIE 3.2-4.6,SSP1-NPi,China,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,676.4475,708.7184,491.4447
REMIND-MAgPIE 3.2-4.6,SSP1-NPi,Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,553.6432,431.882,357.7062
REMIND-MAgPIE 3.2-4.6,SSP1-NPi,India,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,194.9417,218.32930000000002,226.0333
REMIND-MAgPIE 3.2-4.6,SSP1-NPi,Japan,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,105.7944,50.992200000000004,33.3003
REMIND-MAgPIE 3.2-4.6,SSP1-NPi,Latin America and Caribbean,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,133.1766,114.6699,139.5958
REMIND-MAgPIE 3.2-4.6,SSP1-NPi,Middle East and Africa,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,204.5975,283.2657,264.6707
REMIND-MAgPIE 3.2-4.6,SSP1-NPi,Non-EU Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,71.82039999999999,56.8611,48.4315
REMIND-MAgPIE 3.2-4.6,SSP1-NPi,Other Asia,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,199.1249,190.84690000000003,208.6128
REMIND-MAgPIE 3.2-4.6,SSP1-NPi,Russia and Former Soviet Union,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,263.4895,255.8722,146.1583
REMIND-MAgPIE 3.2-4.6,SSP1-NPi,Sub-Saharan Africa,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,123.0697,166.57340000000002,181.1901
REMIND-MAgPIE 3.2-4.6,SSP1-NPi,United States,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,459.57489999999996,324.26439999999997,265.3493
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,"Canada, Australia, New Zealand",Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,155.1324,23.936200000000003,3.7802
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,China,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,1352.895,441.39939999999996,155.4762
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,1107.2864,270.0772,49.73
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,India,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,389.8834,326.846,166.3624
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Japan,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,211.5888,80.3938,32.6992
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Latin America and Caribbean,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,266.3532,156.9882,132.5258
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Middle East and Africa,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,409.195,262.6168,85.2658
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Non-EU Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,143.64079999999998,61.0318,10.3786
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Other Asia,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,398.2498,316.9006,109.98519999999999
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Russia and Former Soviet Union,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,526.979,220.198,78.7104
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Sub-Saharan Africa,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,246.13940000000002,317.69,196.214
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,United States,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,919.1497999999999,327.58299999999997,189.0052
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,"Canada, Australia, New Zealand",Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,77.5662,57.4949,50.194700000000005
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,China,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,676.4475,788.0279,748.5459
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,553.6432,323.7154,237.1293
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,India,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,194.9417,297.8401,306.0565
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Japan,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,105.7944,74.03999999999999,60.129799999999996
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Latin America and Caribbean,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,133.1766,149.758,176.0174
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Middle East and Africa,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,204.5975,363.1338,444.5402
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Non-EU Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,71.82039999999999,81.08950000000002,76.1211
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Other Asia,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,199.1249,286.09350000000006,323.6334
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Russia and Former Soviet Union,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,263.4895,279.03819999999996,242.1575
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Sub-Saharan Africa,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,123.0697,424.45390000000003,736.2359
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,United States,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,459.57489999999996,374.5279,354.2024
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,"Canada, Australia, New Zealand",Buildings - Residential and Commercial,Final Energy,EJ/yr,3.307,3.2661,3.0336
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,China,Buildings - Residential and Commercial,Final Energy,EJ/yr,18.7577,35.3591,32.5514
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Europe,Buildings - Residential and Commercial,Final Energy,EJ/yr,17.8593,15.5944,13.3881
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,India,Buildings - Residential and Commercial,Final Energy,EJ/yr,7.2483,11.7939,14.1212
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Japan,Buildings - Residential and Commercial,Final Energy,EJ/yr,4.0348,3.3553,2.9745
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Latin America and Caribbean,Buildings - Residential and Commercial,Final Energy,EJ/yr,5.7235,8.0237,10.2541
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Middle East and Africa,Buildings - Residential and Commercial,Final Energy,EJ/yr,7.1118,12.6191,14.7929
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Non-EU Europe,Buildings - Residential and Commercial,Final Energy,EJ/yr,2.2813,2.9713,3.0856
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Other Asia,Buildings - Residential and Commercial,Final Energy,EJ/yr,9.7433,13.7797,16.002
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Russia and Former Soviet Union,Buildings - Residential and Commercial,Final Energy,EJ/yr,9.8129,10.2988,9.8411
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Sub-Saharan Africa,Buildings - Residential and Commercial,Final Energy,EJ/yr,12.0395,16.2915,19.2331
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,United States,Buildings - Residential and Commercial,Final Energy,EJ/yr,20.0933,19.6365,18.7065
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,"Canada, Australia, New Zealand",Buildings - Residential and Commercial,Population,million,64.1343,79.3606,84.1386
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,China,Buildings - Residential and Commercial,Population,million,1411.2736,1391.432,1318.2783
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Europe,Buildings - Residential and Commercial,Population,million,509.7676,518.9234,515.8634
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,India,Buildings - Residential and Commercial,Population,million,1322.8665,1602.4071,1650.7419
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Japan,Buildings - Residential and Commercial,Population,million,127.141,112.9753,106.2018
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Latin America and Caribbean,Buildings - Residential and Commercial,Population,million,622.5515,729.5408,744.9623
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Middle East and Africa,Buildings - Residential and Commercial,Population,million,477.7181,669.4447,724.7476
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Non-EU Europe,Buildings - Residential and Commercial,Population,million,111.6676,125.6939,127.3123
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Other Asia,Buildings - Residential and Commercial,Population,million,1180.0654,1478.0789,1541.598
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Russia and Former Soviet Union,Buildings - Residential and Commercial,Population,million,286.8903,290.345,289.3406
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Sub-Saharan Africa,Buildings - Residential and Commercial,Population,million,972.711,1688.2663,1959.0324
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,United States,Buildings - Residential and Commercial,Population,million,320.739,369.427,387.1595
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,"Canada, Australia, New Zealand",Buildings - Residential and Commercial,Energy Service,bn m2/yr,3.458,5.0952,5.6593
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,China,Buildings - Residential and Commercial,Energy Service,bn m2/yr,64.6625,100.301,101.8745
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Europe,Buildings - Residential and Commercial,Energy Service,bn m2/yr,26.6618,31.0184,32.4458
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,India,Buildings - Residential and Commercial,Energy Service,bn m2/yr,17.1945,37.1074,44.8531
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Japan,Buildings - Residential and Commercial,Energy Service,bn m2/yr,7.1718,7.2632,7.0428
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Latin America and Caribbean,Buildings - Residential and Commercial,Energy Service,bn m2/yr,20.8535,31.6381,35.9069
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Middle East and Africa,Buildings - Residential and Commercial,Energy Service,bn m2/yr,11.8562,20.7188,24.8425
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Non-EU Europe,Buildings - Residential and Commercial,Energy Service,bn m2/yr,5.5941,7.7201,8.2762
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Other Asia,Buildings - Residential and Commercial,Energy Service,bn m2/yr,24.8573,44.4947,51.7519
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Russia and Former Soviet Union,Buildings - Residential and Commercial,Energy Service,bn m2/yr,8.8909,12.2598,13.2987
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,Sub-Saharan Africa,Buildings - Residential and Commercial,Energy Service,bn m2/yr,15.2115,34.6979,47.3418
REMIndia-MAgPIE 3.2-4.6,SSP2-NPi-CCimp,United States,Buildings - Residential and Commercial,Energy Service,bn m2/yr,30.5187,38.8371,40.9369
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,"Canada, Australia, New Zealand",Buildings - Residential and Commercial,Energy Service,bn m2/yr,3.458,5.0952,5.6593
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,China,Buildings - Residential and Commercial,Energy Service,bn m2/yr,64.6625,100.301,101.8745
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Europe,Buildings - Residential and Commercial,Energy Service,bn m2/yr,26.6618,31.0184,32.4458
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,India,Buildings - Residential and Commercial,Energy Service,bn m2/yr,17.1945,37.1074,44.8531
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Japan,Buildings - Residential and Commercial,Energy Service,bn m2/yr,7.1718,7.2632,7.0428
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Latin America and Caribbean,Buildings - Residential and Commercial,Energy Service,bn m2/yr,20.8535,31.6381,35.9069
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Middle East and Africa,Buildings - Residential and Commercial,Energy Service,bn m2/yr,11.8562,20.7188,24.8425
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Non-EU Europe,Buildings - Residential and Commercial,Energy Service,bn m2/yr,5.5941,7.7201,8.2762
